日期,交易口數_自營商,交易契約金額_自營商,交易口數_投信,交易契約金額_投信,交易口數_外資,交易契約金額_外資,未平倉口數_自營商,未平倉金額_自營商,未平倉口數_投信,未平倉金額_投信,未平倉口數_外資,未平倉金額_外資,交易契約金額_散戶,未平倉金額_散戶
2025/12/26,-4549,25020,0,0,-587,-11040,2883,224015,-40,-788,3664,60007,-13980,-283234.0
2025/12/29,2934,3133,0,0,587,4064,5817,223164,-40,-1070,4251,74544,-7197,-296638.0
2025/12/30,-6083,-26094,0,0,-69,-8947,-266,194422,-40,-998,4182,62197,35041,-255621.0
2025/12/31,310,99242,0,0,-1083,-22103,1394,205247,-40,-1160,4555,99749,-77139,-303836.0
2026/01/02,-147,24739,0,0,948,5561,6683,187141,-40,-1820,5092,161067,-30300,-346388.0
2026/01/05,-87,-17473,0,0,2097,5238,6596,172650,-40,-3280,7189,307630,12235,-477000.0
2026/01/06,-5644,-32481,0,0,1426,-2294,952,117249,-40,-3800,8615,361816,34775,-475265.0
2026/01/07,-12141,25425,0,0,-1959,-49655,-1699,72073,-40,-3600,8633,398829,24230,-467302.0
2026/01/08,1408,11044,0,0,-226,-15005,-291,111499,-40,-3480,8407,359895,3961,-467914.0
2026/01/09,-8635,36082,0,0,-2128,-56091,3807,108359,-40,-3440,8681,354182,20009,-459101.0
2026/01/12,1160,3405,0,0,656,-4280,4967,87844,-40,-3860,9337,405182,875,-489166.0
2026/01/13,-3772,-56894,0,0,450,6095,1195,32667,-40,-4180,9787,455436,50799,-483923.0
2026/01/14,-8205,-17393,0,0,-619,7723,2106,23146,-40,-4380,9169,498245,9670,-517011.0
2026/01/15,8810,-23647,0,0,449,1446,10916,-13329,-40,-4520,9618,510322,22201,-492473.0
2026/01/16,-13106,-19550,0,0,1667,26025,-2247,-134170,-40,-5360,11620,660288,-6475,-520758.0
2026/01/19,11367,12425,0,0,2018,-14161,9120,-160968,-40,-5740,13638,715790,1736,-549082.0
2026/01/20,1027,-10920,0,0,-1312,-16571,10147,-194054,-40,-5740,12326,690591,27491,-490797.0
2026/01/21,-32369,28337,0,0,-5592,-123428,2533,193261,0,0,426,170109,95091,-363370.0
2026/01/22,9712,-5838,-25,-914,1454,-20739,12245,181132,-25,-844,1880,157087,27491,-337375.0
2026/01/23,-10334,8869,0,0,652,4801,1592,163323,-25,-1019,3264,169446,-13670,-331750.0
2026/01/26,1113,-11117,0,0,-305,-2522,2705,150124,-25,-956,2959,169236,13639,-318404.0
2026/01/27,2830,-11492,0,0,2649,23952,5535,112306,-25,-1238,5608,197317,-12460,-308385.0
2026/01/28,-7058,38447,0,0,-556,-42159,6266,143902,-25,-1663,1082,151333,3712,-293572.0
2026/01/29,-3095,-101914,-20,-102,-1135,-28057,3171,88016,-45,-1629,-53,137127,130073,-223514.0
2026/01/30,-9393,-30361,0,0,1205,13716,6356,110164,-25,-1131,1579,170207,16645,-279240.0
2026/02/02,5007,-63078,0,0,2856,35651,11363,85645,-25,-725,4435,213075,27427,-297995.0
2026/02/03,2280,51450,-47,-337,661,-21657,13643,114841,-72,-1416,5096,216060,-29456,-329485.0
2026/02/04,-4066,18403,0,0,-254,-7488,7165,106372,-72,-1695,871,219310,-10915,-323987.0
2026/02/05,-2933,-76931,0,0,-1535,-29593,4232,94322,-72,-874,-664,195229,106524,-288677.0
2026/02/06,-5486,66989,0,0,-714,-6001,6590,138538,-25,-744,174,198438,-60988,-336232.0
2026/02/09,-2587,-35332,-76,-578,1119,2165,4003,106165,-101,-1835,1293,218100,33745,-322430.0
2026/02/10,1804,53154,0,0,2536,16474,5807,187827,-101,-3712,3829,257780,-69628,-441895.0
2026/02/11,-2817,33896,-66,-1257,-480,-24017,2497,202233,-91,-3531,1283,179487,-8622,-378189.0
2026/02/11,-2817,33896,-66,-1257,-480,-24017,2497,202233,-91,-3531,1283,179487,-8622,-378189.0
2026/02/23,-18547,8723,0,0,-2746,-59323,-,-,-,-,-,-,50600,
2026/02/11,-2817,33896,-66,-1257,-480,-24017,2497,202233,-91,-3531,1283,179487,-8622,-378189.0
2026/02/24,-4535,-120617,-85,-1516,1141,-7463,-5370,-184712,-85,-1741,2762,417764,129596,-231311.0
2026/02/25,-2083,83859,-30,-542,-108,662,-2289,-220664,-115,-3968,2498,458978,-83979,-234346.0
2026/02/26,6191,887,0,0,-414,-26752,3902,-202890,-115,-3416,2084,432266,25865,-225960.0
2026/03/02,-11067,-81398,0,0,-1535,-19649,-2134,-201495,-25,-1219,2996,401119,101047,-198405
2026/03/03,-763,-28893,-60,-212,-1148,-29209,-2897,-72342,-85,-746,1848,353452,58314,-280364
2026/03/04,-39243,-89510,-92,-1485,-1320,-46147,-4965,26565,-117,-1561,863,280971,137142,-305975
2026/03/05,412,18705,-60,-319,1032,6540,-4553,16895,-177,-2132,1895,319998,-24926,-334761
2026/03/06,-10123,-4482,12,-570,-1829,-10690,-2689,30897,-105,-1899,1886,324434,15742,-353432
2026/03/09,4055,-36951,-5,-123,-380,-39775,1366,133908,-110,-780,1506,205383,76849,-338511
2026/03/10,3188,-7282,-25,-725,825,4506,4554,143804,-135,-1680,2331,237524,3501,-379648
2026/03/11,-581,797,50,2340,997,-2854,-666,44552,-35,-2413,1753,307624,-283,-349763
2026/03/12,-1630,-49806,0,0,-57,2357,-2296,34494,-35,-1768,1696,305157,47449,-337883
2026/03/13,-13378,-61669,-70,-628,-176,28355,-2027,7986,-105,-2168,2447,333820,33942,-339638
2026/03/16,2568,-44533,0,0,-536,8323,541,-10456,-105,-1479,1911,340118,36210,-328183
2026/03/17,1804,25040,-78,-60,1699,8951,2345,-31900,-183,-2158,3610,379813,-33931,-345755
2026/03/18,-15993,68376,-70,-306,-5644,-127906,-1152,-62271,-70,-448,-386,169529,59836,-106810
2026/03/19,-102,-72110,3,177,-347,-10192,-1254,-58937,-67,128,-733,164895,82125,-106086
2026/03/20,-10677,26503,0,0,-3957,-18084,221,-30218,3,137,-1130,167417,-8419,-137336
2026/03/23,1517,-26834,0,0,249,-14107,1738,-1776,3,85,-881,154002,40941,-152311
2026/03/24,5554,65035,-28,-106,419,-13033,7292,38600,-25,7,-462,144769,-51896,-183376
2026/03/25,-3270,30214,0,0,-2584,-22720,3001,40403,3,140,-1544,141673,-7494,-182216
2026/03/26,5858,21131,0,0,1074,-12326,8859,49994,3,122,-470,143078,-8805,-193194
2026/03/27,-14205,-19925,0,0,57,-13780,2895,28652,3,94,-706,145588,33705,-174334
2026/03/30,-1467,-9412,-80,-1082,-83,-19607,1428,64829,-77,-958,-789,123167,30101,-187038
2026/03/31,-5097,-5690,0,0,-805,-50934,-3669,94953,-77,-474,-1594,83548,56624,-178027
2026/04/01,-233,73807,-10,-409,-556,-9412,6158,208284,-87,-1847,-2905,41409,-63986,-247846
2026/04/02,-3949,-35066,0,0,521,-6063,2209,135859,-87,-871,-2384,73219,41129,-208207
2026/04/07,-13341,3624,-370,-23062,846,40055,-740,117005,-457,-25200,-502,142361,-20617,-234166
2026/04/08,4843,227362,-30,-967,937,30502,10909,287165,-487,-52436,-1388,90014,-256897,-324743
2026/04/09,-1672,-6781,0,0,434,-191,9237,233246,-487,-49962,-954,107297,6972,-290581
2026/04/10,-9835,-14075,0,0,713,7019,5120,247602,-487,-61040,-331,80345,7056,-266907
2026/04/13,-525,-40823,0,0,418,3399,4595,174201,-487,-59224,87,107323,37424,-222300
2026/04/14,2910,51869,0,0,-403,-34909,7505,335636,-487,-79719,-316,11707,-16960,-267624
2026/04/15,-6654,63488,5,277,-4768,-54064,588,32200,-235,-50392,824,281162,-9701,-262970
2026/04/16,-642,2229,-120,-7295,-1110,-78965,-54,4423,-355,-66937,-286,205601,84031,-143087
2026/04/17,-17494,-95348,0,0,-3116,-13586,461,-24382,-355,-58013,-162,214580,108934,-132185
2026/04/20,5580,-18531,-10,-655,-129,-5709,6041,-32822,-365,-60895,-291,207090,24895,-113373
2026/04/21,1319,-12342,-10,-695,926,6534,7360,-57319,-375,-73530,635,201883,6503,-71034
2026/04/22,-7028,42161,0,0,-3105,-7959,4356,-46891,-375,-75947,-348,195694,-34202,-72856
2026/04/23,1935,-30064,-86,-2045,843,24574,6291,-73210,-461,-73457,495,228569,7535,-81902
2026/04/24,-5541,-22012,-1,-125,1755,47420,735,-111674,-397,-96915,2338,292140,-25283,-83551
2026/04/27,7448,-23809,-2,-325,195,-62440,8183,-149823,-399,-109455,2533,265879,86574,-6601
2026/04/28,3373,32402,0,0,237,-55819,11556,-116275,-399,-105636,2770,199152,23417,22759
