日期,交易口數_自營商,交易契約金額_自營商,交易口數_投信,交易契約金額_投信,交易口數_外資,交易契約金額_外資,未平倉口數_自營商,未平倉金額_自營商,未平倉口數_投信,未平倉金額_投信,未平倉口數_外資,未平倉金額_外資,交易契約金額_散戶,未平倉金額_散戶
2025/12/26,-7920,-15319,0,0,-3390,-18466,11242,195404,150,108,-2057,-9342,33785,-186170.0
2025/12/29,396,-13212,0,0,-903,-14423,11638,185312,150,85,-2960,-13321,27635,-172076.0
2025/12/30,544,29304,50,749,281,-278,12182,210877,200,695,-2679,-13124,-29775,-198448.0
2025/12/31,-22631,-23297,0,0,-1527,-22102,10486,174334,200,613,-200,3597,45399,-178544.0
2026/01/02,-10834,-49628,0,0,-4393,-24374,13622,156602,200,374,-720,-5123,74002,-151853.0
2026/01/05,-2101,-57959,0,0,1259,-5019,11521,115453,200,300,539,1566,62978,-117319.0
2026/01/06,2769,20061,0,254,873,-2113,14290,132437,200,409,1412,11490,-18202,-144336.0
2026/01/07,-15177,30726,0,0,-708,-50382,12735,120953,200,426,2680,16302,19656,-137681.0
2026/01/08,639,-14318,0,0,233,-14847,13374,114161,200,401,2913,800,29165,-115362.0
2026/01/09,-547,90287,0,0,-2837,-57311,17574,152544,200,325,1870,-8943,-32976,-143926.0
2026/01/12,1050,-16883,0,0,-1409,1995,18624,127031,200,181,461,2531,14888,-129743.0
2026/01/13,538,-15545,-50,875,246,-1032,19162,121231,150,1036,707,11904,15702,-134171.0
2026/01/14,-7165,9061,0,0,-406,-5690,22301,128814,150,760,1794,17159,-3371,-146733.0
2026/01/15,333,-25149,0,0,255,-4761,22634,106380,150,593,2049,13510,29910,-120483.0
2026/01/16,-19071,-7329,0,0,-2334,-15118,15858,105190,150,113,1737,9506,22447,-114809.0
2026/01/19,4645,-3870,0,0,-648,-9722,20503,98227,150,32,1089,5136,13592,-103395.0
2026/01/20,1705,-18626,0,0,1038,12260,22208,73970,150,15,2127,19619,6366,-93604.0
2026/01/21,-1935,53807,0,0,1839,36792,23402,81477,0,0,5648,71945,-90599,-153422.0
2026/01/22,5361,-3202,180,1634,4541,-8104,28763,72398,180,1715,10189,44691,9672,-118804.0
2026/01/23,-8472,-19184,0,0,46,-2376,25028,53181,180,1238,11856,33984,21560,-88403.0
2026/01/26,-2120,-15169,0,0,2502,1134,22908,42428,180,1075,14358,27709,14035,-71212.0
2026/01/27,-2437,-20631,0,0,1891,7750,20471,46829,180,824,16249,34890,12881,-82543.0
2026/01/28,-15465,-58233,0,0,1978,17545,20270,14778,180,775,14169,61096,40688,-76649.0
2026/01/29,2607,3019,0,0,1402,15330,22877,19330,180,801,15571,81280,-18349,-101411.0
2026/01/30,-2432,-19046,0,0,-2046,5119,19730,-4032,180,1308,14812,122878,13927,-120154.0
2026/02/02,12117,29882,50,1543,-50,15188,31847,12663,230,3385,14762,205078,-46613,-221126.0
2026/02/03,-3662,-21584,0,0,-486,-36520,28185,27591,230,1691,14276,75422,58104,-104704.0
2026/02/04,-6273,17589,0,0,-3701,-26932,26612,39554,230,1747,10675,54961,9343,-96262.0
2026/02/05,6808,26736,0,0,-176,-14943,33420,94968,230,2553,10499,54285,-11793,-151806.0
2026/02/06,-8751,46880,0,0,-1918,-17131,25529,100172,230,2709,9327,43201,-29749,-146082.0
2026/02/09,812,-47962,0,0,-323,-10585,26341,14564,230,803,9004,24285,58547,-39652.0
2026/02/10,-10679,-69214,0,0,-546,13233,15662,-34979,230,276,8458,35178,55981,-475.0
2026/02/11,-32298,-40565,0,1580,-336,-16586,-4833,-46028,230,1635,10179,33498,55571,10895.0
2026/02/11,-32298,-40565,0,1580,-336,-16586,-4833,-46028,230,1635,10179,33498,55571,10895.0
2026/02/23,-12411,-53496,0,0,2236,17614,-,-,-,-,-,-,35882,
2026/02/11,-32298,-40565,0,1580,-336,-16586,-4833,-46028,230,1635,10179,33498,55571,10895.0
2026/02/24,4601,-13540,80,607,1586,-6560,2215,-23333,80,376,3840,27620,19493,-4663.0
2026/02/25,-4968,6401,0,0,-1880,2368,702,-13520,80,296,4919,47866,-8769,-34642.0
2026/02/26,2657,-5344,0,0,1206,-8887,3359,-15024,80,152,6125,29806,14231,-14934.0
2026/03/02,-12123,11622,0,0,-54,-15797,-3384,-3467,80,356,7405,42222,4175,-39111
2026/03/03,6868,16558,0,0,1989,28567,3484,1535,80,644,9394,117409,-45125,-119588
